Id,Note,Name,Name_en,Name_ja,TotalDescribe,TotalDescribe_en,TotalDescribe_ja,1Describe,1Describe_en,1Describe_ja,2Describe,2Describe_en,2Describe_ja,3Describe,3Describe_en,3Describe_ja,4Describe,4_Describe_en,4Describe_ja,CompareUse,CompareUse_en,CompareUse_ja,Column 24
11,,小克莉斯娜,Little Krisna,小さなクリスナ,"<main>  一台由克莉斯娜研发的模拟主天使：“小克莉斯娜”，这只小小的模拟机还有待发育
完全无论你是要表达善意还是想诱导她往你期望的方向发展，现在都是最佳的时机</main>
<tip=exclaim>但也有可能被诱导的是你自己</tip>
<subtip>  点我开始聊天</subtip>","<main>  A simulated main angel developed by Krisna: “Little Krisna.” This little simulator is still growing.
Whether you want to show kindness or guide her in your desired direction, now is the best time.</main>
<tip=exclaim>But you might be the one getting guided</tip>
<subtip>  Click me to start chatting</subtip>","<main>  クリスナが開発した模擬主天使：「小さなクリスナ」。この小さなシミュレーターはまだ成長途中だ。
善意を示したいのであれ、望む方向に誘導したいのであれ、今が絶好の機会だ。</main>
<tip=exclaim>だが、誘導されるのはあなた自身かもしれない</tip>
<subtip>  クリックしてチャット開始</subtip>","<main>  生存还是死亡？</main>
<add>谈点哲学</add>
<subtip>  每次对话精神和感知-1，魔力+2</subtip>","<main>  Survive or death?</main>
<add>Let's talk philosophy</add>
<subtip>  Each chat: Spirit/Perception -1, Magic +2</subtip>","<main>  生きるべきか、死ぬべきか？</main>
<add>哲学を語る</add>
<subtip>  会話ごと：精神と感知-1、魔力+2</subtip>","<main>  重生之我在异世界做魔女</main>
<add>讲讲爽文</add>
<subtip>  每次对话感知和幸运-1，精神+2</subtip>","<main>  Reborn as a witch in another world</main>
<add> Let's talk about ""feel-good"" novels</add>
<subtip>  Each chat: Luck/Perception -1, Spirit+2</subtip>","<main>  転生したら異世界で魔女だった件</main>
<add>なろう小説を語る</add>
<subtip>  会話ごと：感知と幸運-1、精神+2</subtip>","<main>  有洞不见虫 - 猜一植物</main>
<add>猜一植物</add>
<subtip>  每次对话魔力和幸运-1，感知+2</subtip>","<main>  There are holes and no insects - guess a plant</main>
<add>Guess a plant</add>
<subtip>  Each chat: Magic/Luck-1, Perception +2</subtip>","<main>  穴あれど虫見えず - ある植物を当てて</main>
<add>植物当てクイズ</add>
<subtip>  会話ごと：魔力と幸運-1、感知+2</subtip>",<main>  溜了溜了</main>,<main>  I'm off now</main>,<main>  もう行くわ</main>,,,,
12,,通关秘籍,Clearance Guide,攻略の裏技,"<main>  这是一则通告，由你的帽子代为传达：即日起天界将向所有魔女开放一项特殊服务，以便更好的支援魔女们在前线的活动主天使将为魔女们提供不限量的知识以及祝福</main>
<tip=exclaim>那么，代价是什么呢？</tip>
<subtip>  市场经济</subtip>","<main>  This is a notice, delivered by your hat: From now on, Heaven will offer a special service to all witches to better support their frontline activities. The main angel will provide unlimited knowledge and blessings to witches.</main>
<tip=exclaim>So, what's the price?</tip>
<subtip>  Market economy</subtip>","<main>  これはあなたへの通達です。あなたの帽子が代読します：本日より、天界は全ての魔女に対し、前線での活動をより良く支援するための特別サービスを開始します。主天使は魔女たちに無限の知識と祝福を提供します。</main>
<tip=exclaim>では、代償は？</tip>
<subtip>  市場経済</subtip>","<main>  用金币交换知识</main>
<add></add>
<subtip>  金币-20，获得随机卡牌</subtip>","<main>  Exchange knowledge with gold</main>
<add></add>
<subtip>  Gold -20, gain a random card</subtip>","<main>  ゴールドで知識と交換する</main>
<add></add>
<subtip>  ゴールド-20、ランダムなカードを1枚獲得</subtip>","<main>  用真理之晶交换启示</main>
<add></add>
<subtip>  真理之晶-5，获得随机祝福</subtip>","<main>  Exchange revelation with Truth Crystals</main>
<add></add>
<subtip>  Crystal of Truth-5, gain a random blessing</subtip>","<main>  真理の結晶で啓示と交換する</main>
<add></add>
<subtip>  真理の結晶-5、ランダムな祝福を1つ獲得</subtip>","<main>  离开</main>
<add>不用轮椅</add>
<subtip>  最强的魔女不需要秘籍！</subtip>","<main>  Leave</main>
<add>No need for a wheelchair</add>
<subtip>  The strongest witch needs no cheat code!</subtip>","<main>  立ち去る</main>
<add>車椅子は不要</add>
<subtip>  最強の魔女に裏技は必要ない！</subtip>",,,,,,,
13,,模拟考核,Simulation Test,模擬試験,"<main>  就和所有公司员工一样，魔女们作为“天界无限责任公司”也有定期的绩效考核，不过在这个循环的模拟世界里，考核也换了形式
它仅用于检测魔女的状态和能力，剔除了无意义的风险</main>
<tip=exclaim>赢了有奖励，输了没惩罚，吗？</tip>
<subtip>  没理由不试一下</subtip>","<main>  Just like all company employees, witches as part of the “Heaven Unlimited Liability Company” also have regular performance reviews. But in this cyclical simulation world, the reviews have changed form.
They only test the witch's status and abilities, removing meaningless risks.</main>
<tip=exclaim>Win and get rewards, lose and no punishment, right?</tip>
<subtip>  No reason not to try</subtip>","<main>  全ての会社員と同様に、「天界無限責任会社」の一員である魔女たちにも定期的な業績評価がある。しかし、この循環するシミュレーション世界では、評価の形式も変わっている。
それは魔女の状態と能力を測定するためだけのもので、無意味なリスクは排除されている。</main>
<tip=exclaim>勝てば報酬、負けても罰なし、だよね？</tip>
<subtip>  試さない理由はない</subtip>","<main>  参与模拟</main>
<add>让我康康</add>
<subtip>  进入一场有额外奖励的模拟战斗</subtip>","<main>  Participate in simulation</main>
<add>Let me see</add>
<subtip>  Enter a simulated battle with extra rewards</subtip>","<main>  シミュレーションに参加する</main>
<add>見せてみろ</add>
<subtip>  追加報酬のある模擬戦闘に入る</subtip>","<main>  这次算了吧</main>
<add></add>
<subtip>  结束事件</subtip>","<main>  Skip this time</main>
<add></add>
<subtip>  End event</subtip>","<main>  今回はやめておく</main>
<add></add>
<subtip>  イベントを終了する</subtip>",,,,,,,,,,
14,,天使盲盒,Angel Blind Box,天使のブラインドボックス,"<main>  天界最近流行的盲盒商品，往机器里投币（也支持生命支付）就能收获一堆包装精美的小盒子
购买盲盒也不完全是为了里面的东西，拆包装的仪式感也是很多人给它刷销量的理由</main>
<tip=exclaim>如果你抽过盲盒就该知道这个东西的性价比了</tip>
<subtip>  说不定就中了呢？</subtip>","<main>  The latest popular blind box product in Heaven: insert coins (or pay with life) into the machine to get a bunch of beautifully packaged little boxes.
Buying blind boxes isn't just for what's inside; the ritual of unboxing is why many people keep buying them.</main>
<tip=exclaim>If you've ever drawn a blind box, you know its value for money</tip>
<subtip>  Maybe you'll hit the jackpot?</subtip>","<main>  天界で最近流行しているブラインドボックス商品。機械にコインを入れる（生命での支払いも可）と、美しく包装された小さな箱がたくさん手に入る。
ブラインドボックスを買うのは中身のためだけではない。開封する儀式感も、多くの人がこれを買い続ける理由だ。</main>
<tip=exclaim>ブラインドボックスを引いたことがあるなら、この商品のコストパフォーマンスは分かるはず</tip>
<subtip>  もしかしたら大当たりかも？</subtip>","<main>  金币盲盒</main>
<add>中！</add>
<subtip>  金币+120</subtip>","<main>  Coin blind box</main>
<add>Win!</add>
<subtip>  Gold +120</subtip>","<main>  ゴールドのブラインドボックス</main>
<add>当たり！</add>
<subtip>  ゴールド+120</subtip>","<main>  生命盲盒</main>
<add>中！</add>
<subtip>  最大生命值+10</subtip>","<main>  Health blind box</main>
<add>Win!</add>
<subtip>  MaxHp+10</subtip>","<main>  生命のブラインドボックス</main>
<add>当たり！</add>
<subtip>  最大HP+10</subtip>",,,,,,,,,,
*15,,提前结算,Early Settlement,早期精算,"<main>  “小姐，告诉你一个好消息”你的帽子开口了“
应天界驻奥尔德林办事处的要求，积极响应关于“更快、更好推进终末计划”政策号召，现允许工龄超过五年，符合条件的魔女，在所携随从的协同下，依法依规、有序办理关于魔法器械，知识技术的结算业务。”
“简单来说就是”帽子顿了顿：“您可以提前拿到自己的那一份了。”</main>
<tip=exclaim>从天而降的大饼</tip>
<subtip>  没见过哪个公司会提前发工资的</subtip>","<main>  ""Miss, I have good news for you,"" your hat says.
At the request of Heaven's Aldrin office, in response to the policy of ""faster and better advancement of the End Plan,"" witches with more than five years of service and who meet the requirements may now, with the help of their followers, lawfully and orderly settle accounts for magical equipment and knowledge technology.
""In short,"" the hat pauses, ""you can get your share in advance.""</main>
<tip=exclaim>A windfall from the sky</tip>
<subtip>  Never seen a company pay wages in advance</subtip>","<main>  「お嬢さん、良い知らせがあります」あなたの帽子が口を開いた。
「天界オルドリン駐在事務所の要請に応じ、『終末計画のより迅速かつ優れた推進』に関する政策を積極的に推進するため、勤続5年以上の条件を満たす魔女は、従者の協力のもと、法規に基づき、秩序だって魔法器機、知識技術に関する精算業務を辦理することが許可されます」
「簡単に言うと」帽子は一呼吸おいて言った。「あなたは自分の分け前を前倒しで受け取れるということです」</main>
<tip=exclaim>棚からぼたもち</tip>
<subtip>  給料を前払いする会社なんて見たことがない</subtip>","<main>  克莉斯娜还能骗我？</main>
<add><color=#FF0000>我要结算</color></add>
<subtip>  结算哩（额外获得400养老金）</subtip>","<main>  Would Krisna still lie to me?</main>
<add><color=#FF0000>I want to settle</color></add>
<subtip>  Settle now (gain 400 pension)</subtip>","<main>  クリスナが私を騙すはずがない</main>
<add><color=#FF0000>精算する</color></add>
<subtip>  精算する（追加で年金400を獲得）</subtip>","<main>  克莉斯娜肯定在骗我</main>
<add></add>
<subtip>  获得祝福""法师"",结束事件</subtip>","<main>  Krisna must be lying to me</main>
<add></add>
<subtip>  Obtain the blessing ""Mage"" to end the event</subtip>","<main>  クリスナはきっと私を騙している</main>
<add></add>
<subtip>  祝福「魔術師」を獲得し、イベントを終了する</subtip>","<main>  坏女人。</main>
<add></add>
<subtip>  </subtip>","<main>  Bad woman.</main>
<add></add>
<subtip>  </subtip>","<main>  悪い女。</main>
<add></add>
<subtip>  </subtip>",,,,,,,
16,,奇美拉之血,Chimera's Blood,キメラの血,"<main>被黑色兜帽遮住面部的女性递给了你一小瓶红色的液体
你认得这种物质，会蠕动的，介于血统论和暴力至上主义之间的，诅咒的源泉——奇美拉的血
或者也可以说是魔王之血,历代魔王在登基之前都需得到它的认可</main>
<tip=exclaim>没能得到认可的人去哪了？</tip>
<subtip> Unfinished Trial</subtip>
    
","<main>A woman with her face hidden by a black hood hands you a small vial of red liquid. You recognize it—something that writhes, between bloodline doctrine and brute supremacy: the source of the curse, Chimera's blood. Or call it the Demon King's blood; every Demon King must gain its approval before coronation.</main>
<tip=exclaim>What became of those who failed to gain approval?</tip>
<subtip> Unfinished Trial</subtip>
    
","<main>黒い頭巾で顔を隠した女性が、赤い液体の入った小瓶を手渡した。あなたは知っている——蠢くあの物質、血統論と暴力至上の狭間にある呪いの源、キメラの血を。あるいは魔王の血。歴代の魔王は戴冠前にその認証を得ねばならない。</main>
<tip=exclaim>認証を得られなかった者たちはどこへ？</tip>
<subtip> 未完了の試練</subtip>
    
","<main>  一饮而尽</main>
<add>魔女不是魔王</add>
<subtip>  获得祝福""奇美拉之血""</subtip>","<main>  Drink it down</main>
<add>A witch is not the Demon King</add>
<subtip>  Obtain the blessing ""Chimera's Blood""</subtip>","<main>  一気に飲み干す</main>
<add>魔女は魔王ではない</add>
<subtip>  祝福「キメラの血」を獲得</subtip>","<main> 魔女不是魔王</main>
<add>中！</add>
<subtip>  平安离开</subtip>","<main> Leave safely</main>
<add>Hit!</add>
<subtip>  Leave safely</subtip>","<main> 魔女は魔王ではない</main>
<add>当たり！</add>
<subtip>  無事に立ち去る</subtip>",,,,,,,,,,
17,,破败神像,Crumbling Idol,朽ちた神像,"<main> 一尊破败的神像伫立在你的面前，神明的头颅已被削去，往日圣洁的石像也被污斑浸染，但你仍能从神像身上感受到，主天使的一丝赐福</main>
<tip=exclaim>多少给点</tip>
<subtip> 未完成的试炼</subtip>","<main> A crumbling idol stands before you. The deity's head has been severed, and the once-holy statue is stained with filth, yet you can still sense a trace of the main angel's blessing emanating from it.</main>
<tip=exclaim>Give me something at least</tip>
<subtip> Unfinished Trial</subtip>","<main> 朽ちた神像があなたの前に立っている。神の首は切断され、かつて聖なる像だったものは汚れに染まっているが、それでもあなたは神像から主天使のわずかな祝福を感じ取ることができる。</main>
<tip=exclaim>何かくれよ</tip>
<subtip> 未完了の試練</subtip>","<main> 祈求财富</main>
<add>中！</add>
<subtip> 获得100金币</subtip>","<main> Pray for wealth</main>
<add>Hit!</add>
<subtip> Gain 100 gold</subtip>","<main> 富を祈る</main>
<add>当たり！</add>
<subtip> 100ゴールドを獲得する</subtip>","<main> 祈求健康</main>
<add>中！</add>
<subtip> 获得20点生命值上限并恢复至满血</subtip>","<main> Pray for health</main>
<add>Hit!</add>
<subtip> Gain 20 max HP and restore to full health</subtip>","<main> 健康を祈る</main>
<add>当たり！</add>
<subtip> 最大HPを20増加し、全回復する</subtip>","<main> 祈求健康</main>
<add>中！</add>
<subtip> 获得20点生命值上限并恢复至满血</subtip>","<main> Pray for health</main>
<add>Hit!</add>
<subtip> Gain 20 max HP and restore to full health</subtip>","<main> 健康を祈る</main>
<add>当たり！</add>
<subtip> 最大HPを20増加し、全回復する</subtip>",,,,,,,
18,,乐园运营,Paradise Trial Run,楽園テスト運営,"<main> 头戴小丑面具，身材高挑的异貌之物拦住了你的去路
“不好意思先生，能占用您一点时间嘛？”虽然隔着面具看不到脸，但你还是能感受到他脸上散发的商务型笑意：“我司创办的游乐园即将开业，诚邀您在开业之前参与乐园的测试运营，不知您可有兴趣？”</main>
<tip=exclaim>看起来还算友善？</tip>
<subtip> 未完成的试炼</subtip>","<main> A tall, strange creature wearing a clown mask blocks your path.
""Excuse me, sir, could I have a moment of your time?"" Though you can't see his face behind the mask, you can sense the business-like smile on his face: ""Our company is about to open an amusement park, and we sincerely invite you to participate in the trial run before the grand opening. Would you be interested?""</main>
<tip=exclaim>Seems friendly enough?</tip>
<subtip> Unfinished Trial</subtip>","<main> ピエロの仮面をかぶった、背の高い異形の者があなたの行く手を塞いだ。
「すみません、少しお時間よろしいでしょうか？」仮面の向こうで顔は見えないが、彼のビジネス的な笑みを感じ取れる：「当社が運営する遊園地がまもなくオープンしますので、オープン前のテスト運営にご参加いただけませんか？」</main>
<tip=exclaim>友好的に見える？</tip>
<subtip> 未完了の試練</subtip>","<main> 花费20金币启动机器</main>
<add>中！</add>
<subtip> 20%概率获得遗物，40%概率获得卡牌</subtip>","<main> Spend 20 gold to start the machine</main>
<add>Hit!</add>
<subtip> 20% chance to get a relic, 40% chance to get a card</subtip>","<main> 20ゴールドを消費してマシンを起動する</main>
<add>当たり！</add>
<subtip> 20%の確率で遺物を、40%の確率でカードを獲得する</subtip>","<main> 走了走了</main>
<add>中！</add>
<subtip> 结束事件</subtip>","<main> I'm leaving</main>
<add>Hit!</add>
<subtip> End event</subtip>","<main> 行くよ</main>
<add>当たり！</add>
<subtip> イベントを終了する</subtip>","<main> 走了走了</main>
<add>中！</add>
<subtip> 结束事件</subtip>","<main> I'm leaving</main>
<add>Hit!</add>
<subtip> End event</subtip>","<main> 行くよ</main>
<add>当たり！</add>
<subtip> イベントを終了する</subtip>",,,,"<good> 遗物！</good>
<Normal>卡牌</Normal>
<bad> 一无所有</bad>","<good> Relic!</good>
<Normal>Card</Normal>
<bad> Nothing at all</bad>","<good> 遺物！</good>
<Normal>カード</Normal>
<bad> 何もない</bad>",
19,,迷途天使,Lost Angel,迷える天使,"<main>克莉斯娜的使徒再一次困在了异界的深渊坑
如果不是奥尔德林的信号传达不到魔女屋，真想给她安一个GPS
想吐槽的有很多，但是当务之急是先帮可可解决返航问题……</main>
<tip=exclaim>这忙不白帮</tip>
<subtip> 未完成的试炼</subtip>","<main>Krisna's apostle is once again trapped in the Abyss Pit of another world.
If only signals could reach the Witch House from Aldrin, I'd install a GPS for her.
There's much to complain about, but the priority is helping Coco solve her return journey problem...</main>
<tip=exclaim>This favor won't go unrewarded</tip>
<subtip> Unfinished Trial</subtip>","<main>クリスナの使徒がまたしても異界の深淵の穴に囚われている。
オルドリンから魔女屋に信号が届くなら、GPSをつけてやりたいものだ。
文句は山ほどあるが、当面の急務はココの帰還問題を解決することだ……</main>
<tip=exclaim>この手伝いは無駄にはならない</tip>
<subtip> 未完了の試練</subtip>","<main> 给她画张地图</main>
<add>中！</add>
<subtip> 获得遗物""可可的勾线笔""</subtip>","<main> Draw her a map</main>
<add>Hit!</add>
<subtip> Obtain the relic ""Coco's Inking Pen""</subtip>","<main> 地図を描いてあげる</main>
<add>当たり！</add>
<subtip> 遺物「ココのペン」を獲得する</subtip>","<main> 帮助她找到回家的路</main>
<add>中！</add>
<subtip> 获得遗物""迷途天使之环""</subtip>","<main> Help her find her way home</main>
<add>Hit!</add>
<subtip> Obtain the relic ""Lost Angel's Ring""</subtip>","<main> 家への道を見つけるのを手伝う</main>
<add>当たり！</add>
<subtip> 遺物「迷える天使の指輪」を獲得する</subtip>","<main> 帮助她找到回家的路</main>
<add>中！</add>
<subtip> 获得遗物""迷途天使之环""</subtip>","<main> Help her find her way home</main>
<add>Hit!</add>
<subtip> Obtain the relic ""Lost Angel's Ring""</subtip>","<main> 家への道を見つけるのを手伝う</main>
<add>当たり！</add>
<subtip> 遺物「迷える天使の指輪」を獲得する</subtip>",,,,,,,
20,,占卜师,Fortune Teller,占い師,"<main>头戴巨大灰帽的魔女教教徒正在路边摆着她的占卜小摊
和任何路边摊贩一样，这个基于魔法的业务也安装了一部巨大的（魔能）扩音器，循环播放着教徒稚嫩声音棒读的广告词
让人不由得心生怜悯……</main>
<tip=exclaim>照顾一下她的生意？</tip>
<subtip> 未完成的试炼</subtip>","<main>A Witch Cultist wearing a huge gray hat has set up her fortune-telling stall by the roadside.
Like any street vendor, this magic-based business has also installed a massive (mana-powered) loudspeaker, looping advertisements read in the cultist's稚嫩 voice.
It makes one feel quite sympathetic...</main>
<tip=exclaim>Support her business?</tip>
<subtip> Unfinished Trial</subtip>","<main>巨大な灰色の帽子をかぶった魔女教の信者が、道端に占いの屋台を出している。
他の屋台と同じように、この魔法ベースの商売も巨大な（魔動力）拡声器を設置しており、信者の未熟な声で棒読みされる広告を流している。
思わず同情してしまう……</main>
<tip=exclaim>彼女の商売を応援する？</tip>
<subtip> 未完了の試練</subtip>","<main> 给我占卜一下(20金币)</main>
<add>中！</add>
<subtip> 获得基础属性</subtip>","<main> Tell my fortune (20 gold)</main>
<add>Hit!</add>
<subtip> Gain basic attributes</subtip>","<main> 占ってもらう（20ゴールド）</main>
<add>当たり！</add>
<subtip> 基本ステータスを獲得する</subtip>","<main> 我也很穷</main>
<add>中！</add>
<subtip> 离开事件</subtip>","<main> I'm also poor</main>
<add>Hit!</add>
<subtip> Leave event</subtip>","<main> 私も貧乏だ</main>
<add>当たり！</add>
<subtip> イベントを終了する</subtip>","<main> 我也很穷</main>
<add>中！</add>
<subtip> 离开事件</subtip>","<main> I'm also poor</main>
<add>Hit!</add>
<subtip> Leave event</subtip>","<main> 私も貧乏だ</main>
<add>当たり！</add>
<subtip> イベントを終了する</subtip>",,,,"<wis> 精神+2！</wis>
<str> 魔力+1</str>
<lucky> 幸运+2</lucky>
<per> 感知+1</per>","<wis> Spirit +2!</wis>
<str> Magic +1</str>
<lucky> Luck +2!</lucky>
<per> Perception +1</per>","<wis> 精神+2！</wis>
<str> 魔力+1</str>
<lucky> 幸運+2！</lucky>
<per> 感知+1</per>",
21,,提炼真理,Refining Truth,真理の錬成,"<main>魔女的力量强弱由她储备的知识质量决定，因此凝结为物质的真理可以直接成为魔女的养分
这种珍贵的物质同样广泛存在于深渊坑之中，前提是被认知到她的人提炼出来</main>
<tip=exclaim>未完成的试炼</tip>
<subtip> 未完成的试炼</subtip>","<main>A witch's power is determined by the quality of knowledge she has accumulated, so truth condensed into material form can directly become nourishment for the witch.
This precious substance also exists widely in the Abyss Pit, provided it is extracted by those who recognize it.</main>
<tip=exclaim>Unfinished Trial</tip>
<subtip> Unfinished Trial</subtip>","<main>魔女の力の強さは蓄積した知識の質で決まるため、物質化した真理は魔女の養分となりうる。
この貴重な物質も深淵の穴に広く存在するが、それを認識した者が抽出する必要がある。</main>
<tip=exclaim>未完了の試練</tip>
<subtip> 未完了の試練</subtip>","<main> 分析深渊</main>
<add>中！</add>
<subtip> 获得20真理之晶，精神+3</subtip>","<main> Analyze the Abyss</main>
<add>Hit!</add>
<subtip> Gain 20 Truth Crystals, Spirit +3</subtip>","<main> 深淵を分析する</main>
<add>当たり！</add>
<subtip> 真理の結晶を20個獲得し、精神+3</subtip>",,,,,,,,,,,,,
*1001,,新手考核,Beginner Assessment,新人評価,"<main>新手考核，即将模拟对战永夜化身</main>
<tip=exclaim>未完成的试炼</tip>
<subtip> 未完成的试炼</subtip>","<main>Beginner assessment, about to simulate battle against the Eternal Night Incarnation</main>
<tip=exclaim>Unfinished Trial</tip>
<subtip> Unfinished Trial</subtip>","<main>新人評価、まもなく永夜の化身との模擬戦闘を開始</main>
<tip=exclaim>未完了の試練</tip>
<subtip> 未完了の試練</subtip>","<main> 开战</main>
<add>中！</add>
<subtip> 开战</subtip>","<main> Start battle</main>
<add>Hit!</add>
<subtip> Start battle</subtip>","<main> 戦闘開始</main>
<add>当たり！</add>
<subtip> 戦闘開始</subtip>",,,,,,,,,,,,,
*1002,,命运抉择,Fate's Choice,運命の選択,<main> 如果你真的能走到最后，你还会有勇气挑战祂吗？</main>,"<main> If you can really make it to the end, will you still have the courage to challenge Him?</main>",<main> 本当に最後までたどり着けたら、あなたはまだ彼に挑む勇気を持っているだろうか？</main>,"<main> 永不妥协</main>
<add>中！</add>
<subtip> 旅途的最后，你将直面魔王</subtip>","<main> Never compromise</main>
<add>Hit!</add>
<subtip> At the end of your journey, you will face the Demon King</subtip>","<main> 決して妥協しない</main>
<add>当たり！</add>
<subtip> 旅の終わりに、あなたは魔王と対峙することになる</subtip>","<main> 我会净化这腐朽的世界</main>
<add>中！</add>
<subtip> 旅途的最后，你将直面永夜</subtip>","<main> I will purify this corrupt world</main>
<add>Hit!</add>
<subtip> At the end of your journey, you will face the Eternal Night</subtip>","<main> この腐敗した世界を浄化する</main>
<add>当たり！</add>
<subtip> 旅の終わりに、あなたは永夜と対峙することになる</subtip>",,,,,,,,,,