Id,Note,Name,Description,Name_en,Description_en
（id）唯一标识,备注,名称,描述,,
1,,熔岩之心,巨人族再次融入了大地,Heart of Lava,The giant race has once again merged with the earth
2,,星轨沙漏,观测者窥见了时间裂缝中的倒影,Stellar Hourglass,The observer glimpsed reflections in the cracks of time
3,,虚妄之瞳,看穿谎言者终将被真相灼伤,Eye of Falsehood,Those who see through lies will ultimately be burned by truth
4,,永霜王冠,寒冰女王的叹息冻结了背叛者的血脉,Everfrost Crown,The Ice Queen's sigh froze the bloodline of traitors
5,,缚誓锁链,古老契约反噬了违背承诺的君王,Oath-Binding Chains,Ancient contracts devoured the king who broke his promises
6,,辉月棱镜,圣堂骑士用其折射神谕的残光,Radiant Moon Prism,Temple knights use it to refract the dying light of divine oracles
7,,熵核,地脉暴动的能量在晶体中嘶吼,Entropy Core,The energy of ley line upheavals roars within the crystal
8,,命运纺锤,纺织女神剪断了凡人的生命线,Fate Spindle,The weaving goddess severed the lifelines of mortals
9,,影渊琥珀,吞噬光明的深渊凝结成实体,Shadow Abyss Amber,The abyss that devours light has crystallized into physical form
10,,龙语石碑,龙族将湮灭的文明刻入龙骨,Draconic Stele,Dragons carved vanished civilizations into dragonbone
11,,圣骸布,殉道者的血在布帛上燃烧千年,Sacred Shroud,The martyr's blood has burned on the cloth for a thousand years
12,,混沌枝芽,世界树根系蔓延向无序的深渊,Chaos Sprout,The World Tree's roots spread toward the chaotic abyss
13,,时之鳞,银龙鳞片记录了时间河流的涨落,Scale of Time,Silver dragon scales record the ebb and flow of time's river
14,,心象罗盘,指向持有者最恐惧的回忆深处,Psychic Compass,Points toward the depths of the holder's most feared memories
15,,冥河船票,摆渡人只接受灵魂作为船资,Styx Ferry Ticket,The ferryman accepts only souls as passage fare
16,,天穹齿轮,机械之神遗落的精密神性,Celestial Gear,Precise divinity left behind by the god of machines
17,,蚀日黑钻,日蚀时陨落的星辰核心,Eclipse Black Diamond,The stellar core that fell during a solar eclipse
18,,歌者之血,人鱼族用歌声封印了海啸,Singer's Blood,The merfolk sealed the tsunami with their songs
19,,荒原号角,吹响时唤醒地壳下的泰坦,Wasteland Horn,"When blown, awakens the titans beneath the earth's crust"
20,,真理砝码,天平两端称量谎言与疯狂,Truth Weight,The scales weigh lies and madness on both ends
21,,绯红契约,血族公爵签署的致命盟约,Crimson Pact,A deadly alliance signed by the vampire duke
22,,空想透镜,将梦境折射为可触摸的实体,Fantasy Lens,Refracts dreams into tangible entities
23,,寂灭尘埃,诸神黄昏战役的灰烬仍有余温,Annihilation Dust,Ashes from the Ragnarök battle still retain their warmth
24,,潮汐圣杯,盛满月海潮汐的液态月光,Tidal Chalice,Filled with liquid moonlight from lunar sea tides
25,,荆棘王玺,初代精灵王冠上的诅咒冠冕,Thorn Royal Seal,The cursed diadem from the first elven king's crown
26,,悖论魔方,六个面同时存在又相互否定,Paradox Cube,Six faces that simultaneously exist yet negate each other
*27,,万物之基-灾,灾之起源,Foundation of All Things - Calamity,Origin of Calamity
*28,,万物之基-矩,矩之起源,Foundation of All Things - Order,Origin of Order
*29,,万物之基-宙,宙之起源,Foundation of All Things - Cosmos,Origin of Cosmos
*30,,万物之基-灵,灵之起源,Foundation of All Things - Spirit,Origin of Spirit